tag	role	type	id	href	classes	text
div	listbox				absolute left-0 right-0 z-50 mt-2 max-h-64 overflow-y-auto rounded-xl border border-neutral-200 dark:border-neutral-700 bg-white dark:bg-neutral-800 shadow-lg transition-all duration-150 pointer-events-none opacity-0 -translate-y-1	No slots available for this date.
button		button			flex h-10 w-10 cursor-pointer items-center justify-center text-neutral-600 transition-colors hover:text-neutral-900 dark:text-neutral-400 dark:hover:text-white	
input		hidden				
button		button			flex h-10 w-10 cursor-pointer items-center justify-center text-neutral-600 transition-colors hover:text-neutral-900 dark:text-neutral-400 dark:hover:text-white	
button					flex items-center gap-2 text-sm transition-colors text-neutral-500 hover:text-neutral-700 cursor-pointer dark:text-neutral-400 dark:hover:text-neutral-200	Add to Wishlist
button					flex items-center gap-2 text-sm transition-colors text-neutral-500 hover:text-neutral-700 cursor-pointer dark:text-neutral-400 dark:hover:text-neutral-200	Add to Compare
form						Add To Cart
button		submit			relative flex w-full cursor-pointer h-12 items-center justify-center rounded-xl bg-green-500 hover:bg-green-600 dark:bg-green-500 dark:text-white dark:hover:bg-green-600 px-6 py-3 tracking-wide text-white font-semibold text-base transition-all duration-200 hover:opacity-90	Add To Cart
button					w-8 h-8 rounded-full flex items-center justify-center cursor-pointer transition-colors bg-green-500 text-white hover:bg-green-600	
button					w-8 h-8 rounded-full flex items-center justify-center cursor-pointer transition-colors bg-blue-600 text-white hover:bg-blue-700	
button					w-8 h-8 rounded-full flex items-center justify-center cursor-pointer transition-colors bg-black text-white hover:bg-neutral-800	
button					w-8 h-8 rounded-full flex items-center justify-center cursor-pointer transition-colors bg-neutral-200 text-neutral-700 hover:bg-neutral-300 dark:bg-neutral-700 dark:text-white dark:hover:bg-neutral-600	
button					relative px-6 md:px-8 py-4 text-sm md:text-base cursor-pointer font-semibold whitespace-nowrap transition-colors duration-200 text-neutral-900 dark:text-white	Description
button					relative px-6 md:px-8 py-4 text-sm md:text-base cursor-pointer font-semibold whitespace-nowrap transition-colors duration-200 text-neutral-400 dark:text-neutral-500 hover:text-neutral-600 dark:hover:text-neutral-300	Reviews (0)
a				https://bagisto-headless-electronic.vercel.app/	flex items-center gap-2 cursor-pointer w-fit	LogoipsumGo to homepage
a				https://www.instagram.com/bagisto_tips/	cursor-pointer w-9 h-9 flex items-center justify-center rounded-full bg-neutral-100 dark:bg-neutral-800 text-neutral-500 hover:text-white hover:bg-neutral-300 dark:hover:bg-neutral-700 dark:hover:text-neutral-900 transition-all duration-200	
a				https://www.facebook.com/BagistoShop/	cursor-pointer w-9 h-9 flex items-center justify-center rounded-full bg-neutral-100 dark:bg-neutral-800 text-neutral-500 hover:text-white hover:bg-neutral-300 dark:hover:bg-neutral-700 dark:hover:text-neutral-900 transition-all duration-200	
a				https://x.com/BagistoShop	cursor-pointer w-9 h-9 flex items-center justify-center rounded-full bg-neutral-100 dark:bg-neutral-800 text-neutral-500 hover:text-white hover:bg-neutral-300 dark:hover:bg-neutral-700 dark:hover:text-neutral-900 transition-all duration-200	
a				https://bagisto-headless-electronic.vercel.app/privacy-policy	block px-0 py-1 md:p-2 text-nowrap text-sm underline-offset-4 text-selected-black dark:text-neutral-300 hover:text-black hover:underline md:inline-block dark:hover:text-neutral-300	Privacy policy
a				https://bagisto-headless-electronic.vercel.app/whats-new	block px-0 py-1 md:p-2 text-nowrap text-sm underline-offset-4 text-selected-black dark:text-neutral-300 hover:text-black hover:underline md:inline-block dark:hover:text-neutral-300	What's New
a				https://bagisto-headless-electronic.vercel.app/shipping-policy	block px-0 py-1 md:p-2 text-nowrap text-sm underline-offset-4 text-selected-black dark:text-neutral-300 hover:text-black hover:underline md:inline-block dark:hover:text-neutral-300	Shipping
a				https://bagisto-headless-electronic.vercel.app/terms-of-use	block px-0 py-1 md:p-2 text-nowrap text-sm underline-offset-4 text-selected-black dark:text-neutral-300 hover:text-black hover:underline md:inline-block dark:hover:text-neutral-300	Terms of use
a				https://bagisto-headless-electronic.vercel.app/refund-policy	block px-0 py-1 md:p-2 text-nowrap text-sm underline-offset-4 text-selected-black dark:text-neutral-300 hover:text-black hover:underline md:inline-block dark:hover:text-neutral-300	Refund Policy
a				https://bagisto-headless-electronic.vercel.app/return-policy	block px-0 py-1 md:p-2 text-nowrap text-sm underline-offset-4 text-selected-black dark:text-neutral-300 hover:text-black hover:underline md:inline-block dark:hover:text-neutral-300	Return Policay
a				https://bagisto-headless-electronic.vercel.app/payment-policy	block px-0 py-1 md:p-2 text-nowrap text-sm underline-offset-4 text-selected-black dark:text-neutral-300 hover:text-black hover:underline md:inline-block dark:hover:text-neutral-300	Payment Policy
a				https://bagisto-headless-electronic.vercel.app/cutomer-service	block px-0 py-1 md:p-2 text-nowrap text-sm underline-offset-4 text-selected-black dark:text-neutral-300 hover:text-black hover:underline md:inline-block dark:hover:text-neutral-300	Customer Service
a				https://bagisto-headless-electronic.vercel.app/terms-conditions	block px-0 py-1 md:p-2 text-nowrap text-sm underline-offset-4 text-selected-black dark:text-neutral-300 hover:text-black hover:underline md:inline-block dark:hover:text-neutral-300	terms & Conditions
a				https://bagisto-headless-electronic.vercel.app/about-us	block px-0 py-1 md:p-2 text-nowrap text-sm underline-offset-4 text-selected-black dark:text-neutral-300 hover:text-black hover:underline md:inline-block dark:hover:text-neutral-300	About Us
form					mt-8 lg:mt-0 w-full relative	Stay UpdatedGet exclusive offers, new arrivals, and more.Subscribe
input		email			flex-1 rounded-xl px-4 py-2.5 text-sm focus:outline-none focus:ring-2 focus:ring-neutral-300 dark:focus:ring-neutral-600 bg-white dark:bg-neutral-800 text-neutral-900 dark:text-white border transition-all duration-200 placeholder:text-neutral-400 dark:placeholder:text-neutral-500 border-neutral-200 dark:border-neutral-700	
button		submit			relative flex w-full text-base md:text-lg cursor-pointer font-archivo font-semibold items-center justify-center rounded-xl bg-neutral-900 hover:bg-neutral-800 dark:bg-white dark:text-neutral-900 dark:hover:bg-neutral-100 px-4 md:px-6 py-3 md:py-3 tracking-wide text-white transition-all duration-200 relative w-full lg:w-fit flex font-semibold px-6 py-2.5 items-center justify-center rounded-xl bg-neutral-900 dark:bg-white dark:text-neutral-900 hover:bg-neutral-800 dark:hover:bg-neutral-100 text-white text-sm transition-all duration-200 hover:opacity-90	Subscribe
div	alert		__next-route-announcer__			
