count	class	samples
6	shrink-0	<div.relative.shrink-0.overflow-hidden.rounded-full.outline-solid.outline-transparent.group-data-[focus-visible=true]:z-10.group-data-[focus-visible=true]:ring-2> | <a.group.shrink-0.w-[240px].sm:w-[260px].md:w-[280px].lg:w-[300px].xl:w-[320px].snap-start> "Phone" | <a.group.shrink-0.w-[240px].sm:w-[260px].md:w-[280px].lg:w-[300px].xl:w-[320px].snap-start> "Smartphones" | <a.group.shrink-0.w-[240px].sm:w-[260px].md:w-[280px].lg:w-[300px].xl:w-[320px].snap-start> "Headphones"
6	text-[17px]	<h3.text-[17px].font-medium.text-neutral-800.dark:text-neutral-200.line-clamp-1.md:line-clamp-2.leading-snug.hover:text-neutral-900> "xcvvxv" | <h3.text-[17px].font-medium.text-neutral-800.dark:text-neutral-200.line-clamp-1.md:line-clamp-2.leading-snug.hover:text-neutral-900> "Premium Smartphone Xenon" | <h3.text-[17px].font-medium.text-neutral-800.dark:text-neutral-200.line-clamp-1.md:line-clamp-2.leading-snug.hover:text-neutral-900> "Elite Sound Earphones" | <h3.text-[17px].font-medium.text-neutral-800.dark:text-neutral-200.line-clamp-1.md:line-clamp-2.leading-snug.hover:text-neutral-900> "The Ultimate 256GB Smartphone"
6	text-neutral-700	<svg.w-5.h-5.text-neutral-700.dark:text-neutral-200> | <button.flex.h-10.w-10.items-center.justify-center.rounded-full.border.border-neutral-300> | <button.md:hidden.absolute.right-1.top-1/2.-translate-y-1/2.z-10.flex.h-10> | <footer.hidden.lg:block.bg-neutral-50.dark:bg-neutral-900/50.text-neutral-700.dark:text-neutral-300> "LogoipsumGo to homepagePremium products with exceptional quality. Your satisfaction is our priority."
6	text-xl	<p.text-xl.font-bold.text-neutral-900.dark:text-white.mb-2> "Your cart is empty" | <h2.text-xl.text-2xl.text-neutral-900.font-semibold.dark:text-white> "Popular Categories" | <h1.mb-4.font-outfit.text-xl.md:text-4xl.font-semibold.text-black.dark:text-white> "Popular Products" | <h2.text-xl.text-2xl.text-neutral-900.font-semibold.dark:text-white> "New Products"
5	bg-neutral-50	<div.flex.flex-col.items-center.justify-center.gap-2.5.text-center.py-4.px-3> "Enjoy free shipping on all orders" | <div.flex.flex-col.items-center.justify-center.gap-2.5.text-center.py-4.px-3> "Easy Product Replacement Available!" | <div.flex.flex-col.items-center.justify-center.gap-2.5.text-center.py-4.px-3> "No cost EMI available on all major credit cards" | <div.flex.flex-col.items-center.justify-center.gap-2.5.text-center.py-4.px-3> "Dedicated 24/7 support via chat and email"
5	bg-neutral-900	<nav.relative.mx-auto.rounded-xl.bg-neutral-900.dark:bg-neutral-900.px-4.md:px-6.lg:px-8> "LogoipsumAllSmartphonesHeadphonesEntertainmentAppliancesSearchStart typing to search productsShoppin" | <p.flex-none.rounded-full.bg-neutral-900.dark:bg-white.dark:text-neutral-900.px-3.py-1.text-xs> "$25,458.00" | <p.flex-none.rounded-full.bg-neutral-900.dark:bg-white.dark:text-neutral-900.px-3.py-1.text-xs> "$10,000.00" | <p.flex-none.rounded-full.bg-neutral-900.dark:bg-white.dark:text-neutral-900.px-3.py-1.text-xs> "$4,000.00"
5	dark:border-neutral-600	<button.absolute.left-4.md:left-6.lg:left-8.top-1/2.-translate-y-1/2.z-20.w-10> | <button.absolute.right-4.md:right-6.lg:right-8.top-1/2.-translate-y-1/2.z-20.w-10> | <button.flex.h-10.w-10.items-center.justify-center.rounded-full.border.border-neutral-300> | <button.md:hidden.absolute.right-1.top-1/2.-translate-y-1/2.z-10.flex.h-10>
5	gap-4	<div.flex.gap-4.md:gap-5.overflow-x-auto.scrollbar-hide.snap-x.snap-mandatory.pb-2> "PhoneSmartphonesHeadphonesEntertainmentAppliances" | <div.hidden.md:grid.gap-4.md:grid-cols-6.md:grid-rows-2.lg:max-h-[calc(100vh-200px)]> "xcvvxv$25,458.00FHD Laptop 2026 Edition with Copilot AI$10,000.00Horizon Arc 49\" OLED Curved Gaming " | <div.grid.md:hidden.gap-4.grid-cols-1.xxs:grid-cols-2.lg:max-h-[calc(100vh-200px)].sf-hidden> | <div.grid.grid-cols-2.md:grid-cols-4.gap-4.md:gap-6.mb-10> "Enjoy free shipping on all ordersEasy Product Replacement Available!No cost EMI available on all maj"
5	group-hover:shadow-lg	<div.overflow-hidden.rounded-2xl.bg-white.dark:bg-neutral-800.flex.items-center.justify-center.p-6>
5	inline-flex	<a.font-medium.text-neutral-300.hover:text-white.px-3.lg:px-4.py-2.rounded-full.transition-colors> "All" | <a.font-medium.text-neutral-300.hover:text-white.px-3.lg:px-4.py-2.rounded-full.transition-colors> "Smartphones" | <a.font-medium.text-neutral-300.hover:text-white.px-3.lg:px-4.py-2.rounded-full.transition-colors> "Headphones" | <a.font-medium.text-neutral-300.hover:text-white.px-3.lg:px-4.py-2.rounded-full.transition-colors> "Entertainment"
5	lg:px-4	<a.font-medium.text-neutral-300.hover:text-white.px-3.lg:px-4.py-2.rounded-full.transition-colors> "All" | <a.font-medium.text-neutral-300.hover:text-white.px-3.lg:px-4.py-2.rounded-full.transition-colors> "Smartphones" | <a.font-medium.text-neutral-300.hover:text-white.px-3.lg:px-4.py-2.rounded-full.transition-colors> "Headphones" | <a.font-medium.text-neutral-300.hover:text-white.px-3.lg:px-4.py-2.rounded-full.transition-colors> "Entertainment"
5	lg:w-[300px]	<a.group.shrink-0.w-[240px].sm:w-[260px].md:w-[280px].lg:w-[300px].xl:w-[320px].snap-start> "Phone" | <a.group.shrink-0.w-[240px].sm:w-[260px].md:w-[280px].lg:w-[300px].xl:w-[320px].snap-start> "Smartphones" | <a.group.shrink-0.w-[240px].sm:w-[260px].md:w-[280px].lg:w-[300px].xl:w-[320px].snap-start> "Headphones" | <a.group.shrink-0.w-[240px].sm:w-[260px].md:w-[280px].lg:w-[300px].xl:w-[320px].snap-start> "Entertainment"
5	max-h-full	<img.max-h-full.max-w-full.object-contain.transition-transform.duration-300.group-hover:scale-105>
5	md:w-[280px]	<a.group.shrink-0.w-[240px].sm:w-[260px].md:w-[280px].lg:w-[300px].xl:w-[320px].snap-start> "Phone" | <a.group.shrink-0.w-[240px].sm:w-[260px].md:w-[280px].lg:w-[300px].xl:w-[320px].snap-start> "Smartphones" | <a.group.shrink-0.w-[240px].sm:w-[260px].md:w-[280px].lg:w-[300px].xl:w-[320px].snap-start> "Headphones" | <a.group.shrink-0.w-[240px].sm:w-[260px].md:w-[280px].lg:w-[300px].xl:w-[320px].snap-start> "Entertainment"
5	p-6	<div.overflow-hidden.rounded-2xl.bg-white.dark:bg-neutral-800.flex.items-center.justify-center.p-6>
5	py-12	<div.py-12.text-center> "Start typing to search products" | <section.py-12.md:py-16.bg-white.dark:bg-neutral-950> "Popular ProductsDiscover the latest trends! Fresh products just added—shop new styles, tech, and ess" | <section.py-12.md:py-16.bg-white.dark:bg-neutral-950> "New Productsxcvvxv$25,458.00A smartphone and earphone bundle offers an all-in-one mobile communicati" | <section.py-12.md:py-16.bg-white.dark:bg-neutral-950> "Featured Productsxcvvxv$25,458.00Premium Smartphone Xenon$540.00Elite Sound Earphones$340.00$345.00T"
5	sm:w-[260px]	<a.group.shrink-0.w-[240px].sm:w-[260px].md:w-[280px].lg:w-[300px].xl:w-[320px].snap-start> "Phone" | <a.group.shrink-0.w-[240px].sm:w-[260px].md:w-[280px].lg:w-[300px].xl:w-[320px].snap-start> "Smartphones" | <a.group.shrink-0.w-[240px].sm:w-[260px].md:w-[280px].lg:w-[300px].xl:w-[320px].snap-start> "Headphones" | <a.group.shrink-0.w-[240px].sm:w-[260px].md:w-[280px].lg:w-[300px].xl:w-[320px].snap-start> "Entertainment"
5	snap-start	<a.group.shrink-0.w-[240px].sm:w-[260px].md:w-[280px].lg:w-[300px].xl:w-[320px].snap-start> "Phone" | <a.group.shrink-0.w-[240px].sm:w-[260px].md:w-[280px].lg:w-[300px].xl:w-[320px].snap-start> "Smartphones" | <a.group.shrink-0.w-[240px].sm:w-[260px].md:w-[280px].lg:w-[300px].xl:w-[320px].snap-start> "Headphones" | <a.group.shrink-0.w-[240px].sm:w-[260px].md:w-[280px].lg:w-[300px].xl:w-[320px].snap-start> "Entertainment"
5	w-[240px]	<a.group.shrink-0.w-[240px].sm:w-[260px].md:w-[280px].lg:w-[300px].xl:w-[320px].snap-start> "Phone" | <a.group.shrink-0.w-[240px].sm:w-[260px].md:w-[280px].lg:w-[300px].xl:w-[320px].snap-start> "Smartphones" | <a.group.shrink-0.w-[240px].sm:w-[260px].md:w-[280px].lg:w-[300px].xl:w-[320px].snap-start> "Headphones" | <a.group.shrink-0.w-[240px].sm:w-[260px].md:w-[280px].lg:w-[300px].xl:w-[320px].snap-start> "Entertainment"
5	xl:w-[320px]	<a.group.shrink-0.w-[240px].sm:w-[260px].md:w-[280px].lg:w-[300px].xl:w-[320px].snap-start> "Phone" | <a.group.shrink-0.w-[240px].sm:w-[260px].md:w-[280px].lg:w-[300px].xl:w-[320px].snap-start> "Smartphones" | <a.group.shrink-0.w-[240px].sm:w-[260px].md:w-[280px].lg:w-[300px].xl:w-[320px].snap-start> "Headphones" | <a.group.shrink-0.w-[240px].sm:w-[260px].md:w-[280px].lg:w-[300px].xl:w-[320px].snap-start> "Entertainment"
4	-translate-y-1/2	<button.absolute.right-2.top-1/2.-translate-y-1/2.p-2.text-neutral-400.hover:text-neutral-600.dark:hover:text-neutral-300> | <button.absolute.left-4.md:left-6.lg:left-8.top-1/2.-translate-y-1/2.z-20.w-10> | <button.absolute.right-4.md:right-6.lg:right-8.top-1/2.-translate-y-1/2.z-20.w-10> | <button.md:hidden.absolute.right-1.top-1/2.-translate-y-1/2.z-10.flex.h-10>
4	aspect-[404/439]	<div.relative.aspect-[404/439].overflow-hidden.rounded-[12px].bg-[#F7F7F8].dark:bg-neutral-900.transition-all.duration-300>
4	border-neutral-200	<input.w-full.px-4.py-3.pr-12.text-sm.bg-white.dark:bg-neutral-800.border> | <button.md:hidden.absolute.right-1.top-1/2.-translate-y-1/2.z-10.flex.h-10> | <input.flex-1.rounded-xl.px-4.py-2.5.text-sm.focus:outline-none.focus:ring-2.focus:ring-neutral-300> | <div.border-t.border-neutral-200.dark:border-neutral-800.py-4> "© 2010-2026 Webkul Software (Registered in India). All rights reserved.Powered by Bagisto"
4	border-neutral-300	<button.absolute.left-4.md:left-6.lg:left-8.top-1/2.-translate-y-1/2.z-20.w-10> | <button.absolute.right-4.md:right-6.lg:right-8.top-1/2.-translate-y-1/2.z-20.w-10> | <button.flex.h-10.w-10.items-center.justify-center.rounded-full.border.border-neutral-300>
4	dark:bg-neutral-800/50	<div.flex.flex-col.items-center.justify-center.gap-2.5.text-center.py-4.px-3> "Enjoy free shipping on all orders" | <div.flex.flex-col.items-center.justify-center.gap-2.5.text-center.py-4.px-3> "Easy Product Replacement Available!" | <div.flex.flex-col.items-center.justify-center.gap-2.5.text-center.py-4.px-3> "No cost EMI available on all major credit cards" | <div.flex.flex-col.items-center.justify-center.gap-2.5.text-center.py-4.px-3> "Dedicated 24/7 support via chat and email"
4	dark:bg-white	<p.flex-none.rounded-full.bg-neutral-900.dark:bg-white.dark:text-neutral-900.px-3.py-1.text-xs> "$25,458.00" | <p.flex-none.rounded-full.bg-neutral-900.dark:bg-white.dark:text-neutral-900.px-3.py-1.text-xs> "$10,000.00" | <p.flex-none.rounded-full.bg-neutral-900.dark:bg-white.dark:text-neutral-900.px-3.py-1.text-xs> "$4,000.00" | <button.relative.flex.w-full.text-base.md:text-lg.cursor-pointer.font-archivo.font-semibold> "Subscribe"
4	dark:fill-neutral-900	<svg.fill-white.stroke-neutral-900.dark:fill-neutral-900.dark:stroke-neutral-300>
4	dark:stroke-neutral-300	<svg.fill-white.stroke-neutral-900.dark:fill-neutral-900.dark:stroke-neutral-300>
4	ease-out	<div.fixed.inset-0.z-40.bg-black/40.backdrop-blur-sm.transition-opacity.duration-300.ease-out> | <div.fixed.right-0.top-0.z-50.h-full.w-full.max-w-[420px].bg-white> "SearchStart typing to search products" | <div.fixed.inset-0.z-50.bg-black/40.backdrop-blur-sm.transition-opacity.duration-300.ease-out> | <div.fixed.right-0.top-0.z-50.h-full.w-full.max-w-[420px].bg-white> "Shopping CartYour cart is emptyAdd items to your cart to see them here"
4	gap-2.5	<div.flex.flex-col.items-center.justify-center.gap-2.5.text-center.py-4.px-3> "Enjoy free shipping on all orders" | <div.flex.flex-col.items-center.justify-center.gap-2.5.text-center.py-4.px-3> "Easy Product Replacement Available!" | <div.flex.flex-col.items-center.justify-center.gap-2.5.text-center.py-4.px-3> "No cost EMI available on all major credit cards" | <div.flex.flex-col.items-center.justify-center.gap-2.5.text-center.py-4.px-3> "Dedicated 24/7 support via chat and email"
4	grid-cols-2	<div.grid.grid-cols-2.md:grid-cols-3.lg:grid-cols-4.gap-x-6.gap-y-10> "xcvvxv$25,458.00A smartphone and earphone bundle offers an all-in-one mobile communication and audio" | <div.grid.grid-cols-2.lg:grid-cols-3.xl:grid-cols-3.gap-x-8.gap-y-12> "xcvvxv$25,458.00Premium Smartphone Xenon$540.00Elite Sound Earphones$340.00$345.00The Ultimate 256GB" | <ul.m-0.grid.grid-cols-2.gap-3.md:gap-4.lg:gap-5.p-0.sm:grid-cols-3> "xcvvxv(0)$25,458.00Premium Smartphone Xenon(0)$540.00Elite Sound Earphones(0)$345.00The Ultimate 256" | <div.grid.grid-cols-2.md:grid-cols-4.gap-4.md:gap-6.mb-10> "Enjoy free shipping on all ordersEasy Product Replacement Available!No cost EMI available on all maj"
4	inset-x-0	<div.fixed.inset-x-0.bottom-0.z-[60].lg:hidden.sf-hidden> | <div.absolute.z-10.flex.w-full.px-3.bottom-4.inset-x-0.justify-center> "xcvvxv$25,458.00" | <div.absolute.z-10.flex.w-full.px-3.bottom-4.inset-x-0.justify-center> "FHD Laptop 2026 Edition with Copilot AI$10,000.00" | <div.absolute.z-10.flex.w-full.px-3.bottom-4.inset-x-0.justify-center> "Horizon Arc 49\" OLED Curved Gaming Monitor$4,000.00"
4	max-w-[180px]	<p.max-w-[180px].text-center.font-archivo.text-xs.font-medium.text-neutral-600.dark:text-neutral-400.leading-snug> "Enjoy free shipping on all orders" | <p.max-w-[180px].text-center.font-archivo.text-xs.font-medium.text-neutral-600.dark:text-neutral-400.leading-snug> "Easy Product Replacement Available!" | <p.max-w-[180px].text-center.font-archivo.text-xs.font-medium.text-neutral-600.dark:text-neutral-400.leading-snug> "No cost EMI available on all major credit cards" | <p.max-w-[180px].text-center.font-archivo.text-xs.font-medium.text-neutral-600.dark:text-neutral-400.leading-snug> "Dedicated 24/7 support via chat and email"
4	mb-10	<div.md:max-w-4.5xl.mx-auto.mb-10.w-auto.px-0.text-center.md:px-36> "Popular ProductsDiscover the latest trends! Fresh products just added—shop new styles, tech, and ess" | <div.mb-10> "New Products" | <div.mb-10> "Featured Products" | <div.grid.grid-cols-2.md:grid-cols-4.gap-4.md:gap-6.mb-10> "Enjoy free shipping on all ordersEasy Product Replacement Available!No cost EMI available on all maj"
4	rounded-md	<div.relative.flex.items-center.justify-center.rounded-md.lg:h-11.lg:w-11.text-white> | <div.relative.overflow-hidden.bg-gray-200.dark:bg-gray-700.rounded-md.h-full.w-full>
4	rounded-xl	<nav.relative.mx-auto.rounded-xl.bg-neutral-900.dark:bg-neutral-900.px-4.md:px-6.lg:px-8> "LogoipsumAllSmartphonesHeadphonesEntertainmentAppliancesSearchStart typing to search productsShoppin" | <label.group.relative.max-w-fit.touch-none.tap-highlight-transparent.select-none.flex.size-9> | <input.flex-1.rounded-xl.px-4.py-2.5.text-sm.focus:outline-none.focus:ring-2.focus:ring-neutral-300> | <button.relative.flex.w-full.text-base.md:text-lg.cursor-pointer.font-archivo.font-semibold> "Subscribe"
4	stroke-neutral-900	<svg.fill-white.stroke-neutral-900.dark:fill-neutral-900.dark:stroke-neutral-300>
4	text-[15px]	<h3.text-[15px].font-medium.text-neutral-800.dark:text-neutral-200.line-clamp-1.md:line-clamp-2.leading-snug.hover:text-neutral-900> "xcvvxv" | <h3.text-[15px].font-medium.text-neutral-800.dark:text-neutral-200.line-clamp-1.md:line-clamp-2.leading-snug.hover:text-neutral-900> "A smartphone and earphone bundle offers an all-in-one mobile communication and audio solution." | <h3.text-[15px].font-medium.text-neutral-800.dark:text-neutral-200.line-clamp-1.md:line-clamp-2.leading-snug.hover:text-neutral-900> "SmartHome IoT Relay Module - Gerber & Schematic Files" | <h3.text-[15px].font-medium.text-neutral-800.dark:text-neutral-200.line-clamp-1.md:line-clamp-2.leading-snug.hover:text-neutral-900> "FHD Laptop 2026 Edition with Copilot AI"
4	text-2xl	<h2.text-2xl.font-semibold.text-neutral-900.dark:text-white> "Shopping Cart" | <h2.text-xl.text-2xl.text-neutral-900.font-semibold.dark:text-white> "Popular Categories" | <h2.text-xl.text-2xl.text-neutral-900.font-semibold.dark:text-white> "New Products" | <h2.text-xl.text-2xl.text-neutral-900.font-semibold.dark:text-white> "Featured Products"
4	top-0	<header.fixed.top-0.left-0.right-0.z-[60]> "LogoipsumAllSmartphonesHeadphonesEntertainmentAppliancesSearchStart typing to search productsShoppin" | <div.fixed.right-0.top-0.z-50.h-full.w-full.max-w-[420px].bg-white> "SearchStart typing to search products" | <div.fixed.right-0.top-0.z-50.h-full.w-full.max-w-[420px].bg-white> "Shopping CartYour cart is emptyAdd items to your cart to see them here" | <input.font-inherit.text-[100%].leading-[1.15].m-0.p-0.overflow-visible.box-border.absolute>
4	top-1/2	<button.absolute.right-2.top-1/2.-translate-y-1/2.p-2.text-neutral-400.hover:text-neutral-600.dark:hover:text-neutral-300> | <button.absolute.left-4.md:left-6.lg:left-8.top-1/2.-translate-y-1/2.z-20.w-10> | <button.absolute.right-4.md:right-6.lg:right-8.top-1/2.-translate-y-1/2.z-20.w-10> | <button.md:hidden.absolute.right-1.top-1/2.-translate-y-1/2.z-10.flex.h-10>
3	-translate-x-full	<div.absolute.inset-0.-translate-x-full.animate-[shimmer_2s_infinite].bg-gradient-to-r.from-transparent.via-white/30.to-transparent>
3	!z-0	<img.object-cover.object-center.!z-0>
3	animate-[shimmer_2s_infinite]	<div.absolute.inset-0.-translate-x-full.animate-[shimmer_2s_infinite].bg-gradient-to-r.from-transparent.via-white/30.to-transparent>
3	backdrop-blur-lg	<div.flex.gap-3.items-center.rounded-2xl.px-4.py-2.border.border-white/20> "xcvvxv$25,458.00" | <div.flex.gap-3.items-center.rounded-2xl.px-4.py-2.border.border-white/20> "FHD Laptop 2026 Edition with Copilot AI$10,000.00" | <div.flex.gap-3.items-center.rounded-2xl.px-4.py-2.border.border-white/20> "Horizon Arc 49\" OLED Curved Gaming Monitor$4,000.00"
3	bg-gradient-to-r	<div.absolute.inset-0.-translate-x-full.animate-[shimmer_2s_infinite].bg-gradient-to-r.from-transparent.via-white/30.to-transparent>
3	bg-gray-200	<div.relative.overflow-hidden.bg-gray-200.dark:bg-gray-700.rounded-md.h-full.w-full>
3	bg-neutral-100	<a.cursor-pointer.w-9.h-9.flex.items-center.justify-center.rounded-full.bg-neutral-100>
3	bg-white/85	<div.flex.gap-3.items-center.rounded-2xl.px-4.py-2.border.border-white/20> "xcvvxv$25,458.00" | <div.flex.gap-3.items-center.rounded-2xl.px-4.py-2.border.border-white/20> "FHD Laptop 2026 Edition with Copilot AI$10,000.00" | <div.flex.gap-3.items-center.rounded-2xl.px-4.py-2.border.border-white/20> "Horizon Arc 49\" OLED Curved Gaming Monitor$4,000.00"
3	border-2	<div.group.relative.flex.h-full.w-full.cursor-pointer.items-center.justify-center> "xcvvxv$25,458.00" | <div.group.relative.flex.h-full.w-full.cursor-pointer.items-center.justify-center> "FHD Laptop 2026 Edition with Copilot AI$10,000.00" | <div.group.relative.flex.h-full.w-full.cursor-pointer.items-center.justify-center> "Horizon Arc 49\" OLED Curved Gaming Monitor$4,000.00"
3	border-t	<div.border-t.border-neutral-100.dark:border-neutral-800> | <div.mx-auto.w-full.px-4.md:px-6.lg:px-8.py-10.md:py-12.bg-white> "Enjoy free shipping on all ordersEasy Product Replacement Available!No cost EMI available on all maj" | <div.border-t.border-neutral-200.dark:border-neutral-800.py-4> "© 2010-2026 Webkul Software (Registered in India). All rights reserved.Powered by Bagisto"
3	border-white/20	<div.flex.gap-3.items-center.rounded-2xl.px-4.py-2.border.border-white/20> "xcvvxv$25,458.00" | <div.flex.gap-3.items-center.rounded-2xl.px-4.py-2.border.border-white/20> "FHD Laptop 2026 Edition with Copilot AI$10,000.00" | <div.flex.gap-3.items-center.rounded-2xl.px-4.py-2.border.border-white/20> "Horizon Arc 49\" OLED Curved Gaming Monitor$4,000.00"
3	bottom-4	<div.absolute.z-10.flex.w-full.px-3.bottom-4.inset-x-0.justify-center> "xcvvxv$25,458.00" | <div.absolute.z-10.flex.w-full.px-3.bottom-4.inset-x-0.justify-center> "FHD Laptop 2026 Edition with Copilot AI$10,000.00" | <div.absolute.z-10.flex.w-full.px-3.bottom-4.inset-x-0.justify-center> "Horizon Arc 49\" OLED Curved Gaming Monitor$4,000.00"
3	dark:bg-black	<div.group.relative.flex.h-full.w-full.cursor-pointer.items-center.justify-center> "xcvvxv$25,458.00" | <div.group.relative.flex.h-full.w-full.cursor-pointer.items-center.justify-center> "FHD Laptop 2026 Edition with Copilot AI$10,000.00" | <div.group.relative.flex.h-full.w-full.cursor-pointer.items-center.justify-center> "Horizon Arc 49\" OLED Curved Gaming Monitor$4,000.00"
3	dark:bg-gray-700	<div.relative.overflow-hidden.bg-gray-200.dark:bg-gray-700.rounded-md.h-full.w-full>
3	dark:bg-neutral-900/85	<div.flex.gap-3.items-center.rounded-2xl.px-4.py-2.border.border-white/20> "xcvvxv$25,458.00" | <div.flex.gap-3.items-center.rounded-2xl.px-4.py-2.border.border-white/20> "FHD Laptop 2026 Edition with Copilot AI$10,000.00" | <div.flex.gap-3.items-center.rounded-2xl.px-4.py-2.border.border-white/20> "Horizon Arc 49\" OLED Curved Gaming Monitor$4,000.00"
3	dark:border-neutral-700/50	<div.flex.gap-3.items-center.rounded-2xl.px-4.py-2.border.border-white/20> "xcvvxv$25,458.00" | <div.flex.gap-3.items-center.rounded-2xl.px-4.py-2.border.border-white/20> "FHD Laptop 2026 Edition with Copilot AI$10,000.00" | <div.flex.gap-3.items-center.rounded-2xl.px-4.py-2.border.border-white/20> "Horizon Arc 49\" OLED Curved Gaming Monitor$4,000.00"
3	dark:hover:text-neutral-900	<a.cursor-pointer.w-9.h-9.flex.items-center.justify-center.rounded-full.bg-neutral-100>
3	flex-none	<p.flex-none.rounded-full.bg-neutral-900.dark:bg-white.dark:text-neutral-900.px-3.py-1.text-xs> "$25,458.00" | <p.flex-none.rounded-full.bg-neutral-900.dark:bg-white.dark:text-neutral-900.px-3.py-1.text-xs> "$10,000.00" | <p.flex-none.rounded-full.bg-neutral-900.dark:bg-white.dark:text-neutral-900.px-3.py-1.text-xs> "$4,000.00"
3	focus:outline-none	<input.w-full.px-4.py-3.pr-12.text-sm.bg-white.dark:bg-neutral-800.border> | <label.group.relative.max-w-fit.touch-none.tap-highlight-transparent.select-none.flex.size-9> | <input.flex-1.rounded-xl.px-4.py-2.5.text-sm.focus:outline-none.focus:ring-2.focus:ring-neutral-300>
3	from-transparent	<div.absolute.inset-0.-translate-x-full.animate-[shimmer_2s_infinite].bg-gradient-to-r.from-transparent.via-white/30.to-transparent>
3	hover:bg-neutral-300	<a.cursor-pointer.w-9.h-9.flex.items-center.justify-center.rounded-full.bg-neutral-100>
3	md:px-4	<div.flex.gap-3.items-center.rounded-2xl.px-4.py-2.border.border-white/20> "xcvvxv$25,458.00" | <div.flex.gap-3.items-center.rounded-2xl.px-4.py-2.border.border-white/20> "FHD Laptop 2026 Edition with Copilot AI$10,000.00" | <div.flex.gap-3.items-center.rounded-2xl.px-4.py-2.border.border-white/20> "Horizon Arc 49\" OLED Curved Gaming Monitor$4,000.00"
3	md:py-16	<section.py-12.md:py-16.bg-white.dark:bg-neutral-950> "Popular ProductsDiscover the latest trends! Fresh products just added—shop new styles, tech, and ess" | <section.py-12.md:py-16.bg-white.dark:bg-neutral-950> "New Productsxcvvxv$25,458.00A smartphone and earphone bundle offers an all-in-one mobile communicati" | <section.py-12.md:py-16.bg-white.dark:bg-neutral-950> "Featured Productsxcvvxv$25,458.00Premium Smartphone Xenon$540.00Elite Sound Earphones$340.00$345.00T"
3	md:py-2.5	<div.flex.gap-3.items-center.rounded-2xl.px-4.py-2.border.border-white/20> "xcvvxv$25,458.00" | <div.flex.gap-3.items-center.rounded-2xl.px-4.py-2.border.border-white/20> "FHD Laptop 2026 Edition with Copilot AI$10,000.00" | <div.flex.gap-3.items-center.rounded-2xl.px-4.py-2.border.border-white/20> "Horizon Arc 49\" OLED Curved Gaming Monitor$4,000.00"
3	md:text-sm	<p.line-clamp-1.md:line-clamp-2.font-semibold.text-xs.md:text-sm> "xcvvxv" | <p.line-clamp-1.md:line-clamp-2.font-semibold.text-xs.md:text-sm> "FHD Laptop 2026 Edition with Copilot AI" | <p.line-clamp-1.md:line-clamp-2.font-semibold.text-xs.md:text-sm> "Horizon Arc 49\" OLED Curved Gaming Monitor"
3	object-center	<img.object-cover.object-center.!z-0>
3	p-2	<button.p-2.text-white.transition-colors.cursor-pointer.rounded-full.hover:bg-white/10> | <button.absolute.right-2.top-1/2.-translate-y-1/2.p-2.text-neutral-400.hover:text-neutral-600.dark:hover:text-neutral-300> | <button.relative.p-2.text-white.transition-colors.cursor-pointer.rounded-full.hover:bg-white/10>
3	py-2.5	<nav.relative.mx-auto.rounded-xl.bg-neutral-900.dark:bg-neutral-900.px-4.md:px-6.lg:px-8> "LogoipsumAllSmartphonesHeadphonesEntertainmentAppliancesSearchStart typing to search productsShoppin" | <input.flex-1.rounded-xl.px-4.py-2.5.text-sm.focus:outline-none.focus:ring-2.focus:ring-neutral-300> | <button.relative.flex.w-full.text-base.md:text-lg.cursor-pointer.font-archivo.font-semibold> "Subscribe"
3	right-0	<header.fixed.top-0.left-0.right-0.z-[60]> "LogoipsumAllSmartphonesHeadphonesEntertainmentAppliancesSearchStart typing to search productsShoppin" | <div.fixed.right-0.top-0.z-50.h-full.w-full.max-w-[420px].bg-white> "SearchStart typing to search products" | <div.fixed.right-0.top-0.z-50.h-full.w-full.max-w-[420px].bg-white> "Shopping CartYour cart is emptyAdd items to your cart to see them here"
3	shadow-sm	<div.flex.gap-3.items-center.rounded-2xl.px-4.py-2.border.border-white/20> "xcvvxv$25,458.00" | <div.flex.gap-3.items-center.rounded-2xl.px-4.py-2.border.border-white/20> "FHD Laptop 2026 Edition with Copilot AI$10,000.00" | <div.flex.gap-3.items-center.rounded-2xl.px-4.py-2.border.border-white/20> "Horizon Arc 49\" OLED Curved Gaming Monitor$4,000.00"
3	to-transparent	<div.absolute.inset-0.-translate-x-full.animate-[shimmer_2s_infinite].bg-gradient-to-r.from-transparent.via-white/30.to-transparent>
3	truncate	<img.duration-700.truncate.h-full.transition.group-hover:scale-105.w-full.object-cover.ease-in-out>
3	via-white/30	<div.absolute.inset-0.-translate-x-full.animate-[shimmer_2s_infinite].bg-gradient-to-r.from-transparent.via-white/30.to-transparent>
3	w-auto	<a.flex.h-8.w-auto.items-center.md:h-9> "Logoipsum" | <div.relative.shrink-0.overflow-hidden.rounded-full.outline-solid.outline-transparent.group-data-[focus-visible=true]:z-10.group-data-[focus-visible=true]:ring-2> | <div.md:max-w-4.5xl.mx-auto.mb-10.w-auto.px-0.text-center.md:px-36> "Popular ProductsDiscover the latest trends! Fresh products just added—shop new styles, tech, and ess"
